word,count,type
我穿过黑暗之间,2,token
到黎明之前,2,token
跨过无数山巅,2,token
才能和你周旋,2,token
可是你却不管我这,2,token
是你却不管我这一,2,token
你却不管我这一切,2,token
一,5,token
放任我的爱就此幻,2,token
任我的爱就此幻灭,2,token
我的,6,token
不断盘旋在你我的,4,token
断盘旋在你我的身,4,token
盘旋在你我的身边,4,token
危险边缘抱怨荡著,4,token
险边缘抱怨荡著秋,4,token
边缘抱怨荡著秋千,4,token
我想不停往下坠,3,token
可是月亮也会累,3,token
那就算了哎哟喂,3,token
反正我也懒得追,3,token
我不需要你回答,2,token
不需要你,4,token
抱着太多的废话,2,token
',4,token
就回家,2,token
不需要你的回答,2,token
每一次,3,token
我用尽力气,3,token
怎么也挤不进你热,3,token
么也挤不进你热闹,3,token
也挤不进你热闹的,3,token
挤不进你热闹的心,3,token
每一次的呼吸我用,1,token
一次的呼吸我用尽,1,token
次的呼吸我用尽力,1,token
的呼吸我用尽力气,1,token
